Username,Handle,Timestamp,Text,Replys,Retweets,Likes
Secretaria Especial da Cultura,@CulturaGovBr,2010-01-27T18:12:31.000Z,"@fabichoi
 Saiu hoje no Diário Oficial o envio da #rouanet http://tinyurl.com/y9vd6w5",,,
MMilléo,@mmilleo,2010-01-27T17:54:02.000Z,"RT 
@esquerdafestiva
: RT 
@CulturaGovBr
 Presidente encaminha projeto da nova Lei #Rouanet ao Congres. No Diário Oficial: http://bit.ly/bPo7c7",,,
Ulysses,@esquerdafestiva,2010-01-27T17:43:09.000Z,"RT 
@CulturaGovBr
 Presidente Lula encaminha projeto da nova Lei #Rouanet ao Congresso. Confira no Diário Oficial: http://bit.ly/bPo7c7",,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-01-27T17:42:10.000Z,"Presidente Lula encaminha projeto da nova Lei #Rouanet ao Congresso. Confira a publicação no Diário Oficial: http://bit.ly/bPo7c7
10
1",,10,1
Bruno Stehling,@brunostehling,2010-01-27T13:00:04.000Z,Nova lei #Rouanet: Pequenas e médias empresas poderão incentivar cultura. Leiam->  http://ow.ly/10Ogw,,,
Museu da Energia,@museudaenergia,2010-01-27T11:07:13.000Z,"RT 
@CulturaGovBr
 Presidente Lula assinou hoje o projeto que altera a Lei #Rouanet.",,,
Rafael Castro,@Rafael_GoCastro,2010-01-27T02:15:51.000Z,"Eh... Tambem acho q nao seja pra comemorar RT 
@CulturaGovBr
 E o envio ao Congresso do projeto de nova #rouanet sai amanhã no Diário Oficial",,,
Eduardo Lurnel Fora Bolsonaro,@EduardoLurnel,2010-01-27T01:32:12.000Z,"Será que agora vai ??? RT: 
@CulturaGovBr
: E o envio ao Congresso do projeto de nova #rouanet sai amanhã no Diário Oficial",,,
Ana Lucia Gomes,@analugo7,2010-01-27T01:01:28.000Z,"Aguardamos mudanças que envolvam o Nordeste RT 
@CulturaGovBr
: Presidente Lula assinou hoje o projeto que altera a Lei #Rouanet.",,,
Bruno Stehling,@brunostehling,2010-01-26T21:14:43.000Z,"Assinada HJ: RT 
@CulturaGovBr
: O envio ao Congresso do projeto da nova lei #rouanet sai amanhã no Diário Oficial",,,
Eduardo Basile,@efbasile,2010-01-26T21:08:19.000Z,"RT 
@CulturaGovBr
: Presidente Lula assinou hoje o projeto que altera a Lei #Rouanet.",,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-01-26T21:07:58.000Z,"E o envio ao Congresso do projeto de nova #rouanet sai amanhã no Diário Oficial
10
1",,10,1
Edgard Freitas,@edgardfp,2010-01-26T21:05:01.000Z,"RT 
@CulturaGovBr
: Presidente Lula assinou hoje o projeto que altera a Lei #Rouanet.",,,
Instituto Procomum,@procomum,2009-12-16T18:31:39.000Z,""" A população brasileira é prisioneira da tevê aberta. As outras manifestações culturais não chegam a 20%"", Juca Ferreira #rouanet
7",,7,
paulomilreu,@paulomilreu,2009-12-16T18:14:03.000Z,"Você pode acompanhar coletiva do ministro sobre Nova #rouanet em http://tinyurl.com/ye5s2kc (via 
@CulturaGovBr
)
1",,1,
JX,@reporterze,2009-12-16T18:12:59.000Z,"RT: 
@CulturaGovBr
: coletiva do ministro Juca sobre Nova #rouanet em http://tinyurl.com/ye5s2kc",,,
Secretaria Especial da Cultura,@CulturaGovBr,2009-12-16T18:11:23.000Z,"Você pode acompanhar coletiva do ministro sobre Nova #rouanet em http://tinyurl.com/ye5s2kc
8
3",,8,3
Retrofoguetes,@retrofoguetes,2009-12-15T20:31:27.000Z,"RT 
@CulturaGovBr
: Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx
1",,1,
GuilhermeMRC,@GuigaMRC,2009-12-15T20:03:36.000Z,"#vamoquevamo RT 
@CulturaGovBr
: Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
Editorama,@Editorama,2009-12-15T20:00:40.000Z,"RT 
@CulturaGovBr
: Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
Paulo Zab,@PauloZab,2009-12-15T19:59:45.000Z,"RT: 
@CulturaGovBr
 Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
Daniela Lobo,@lelalobo,2009-12-15T19:59:36.000Z,"RT 
@CulturaGovBr
 CulturaGovBr Nova #Rouanet, amanhã, 10h30, no Congresso  http://tinyurl.com/yazy2zx",,,
Glauber Rocha,@glauberocha,2009-12-15T19:57:22.000Z,"RT 
@CulturaGovBr
   -  Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx
1",,1,
∗.•*¨*✽∗ღ.•*¨*✽,@biamartau,2009-12-15T19:56:54.000Z,"RT 
@Sangue_Latino
 RT:
@CulturaGovBr
 Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
Samba de Luiz,@sambadeluiz,2009-12-15T19:56:52.000Z,"RT 
@CulturaGovBr
: Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
Betho com TH,@Sangue_Latino,2009-12-15T19:56:06.000Z,"RT:
@CulturaGovBr
    Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
Márcio Leal,@marciolealg,2009-12-15T19:56:01.000Z,"RT 
@CulturaGovBr
 Nova #Rouanet, amanhã, 10h30, no Congresso http://tinyurl.com/yazy2zx",,,
